gender,race ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,bachelors degree,standard,none,71,71,65
female,group E,associates degree,standard,none,78,89,83
female,group A,associates degree,standard,none,63,75,70
female,group D,masters degree,standard,none,98,100,100
female,group C,masters degree,standard,none,82,85,81
male,group E,some high school,free reduced,none,54,53,51
male,group B,some high school,free reduced,none,69,72,62
male,group E,high school,standard,none,60,53,51
male,group B,high school,free reduced,completed,49,51,46
female,group C,some high school,standard,none,62,70,62
female,group D,masters degree,standard,none,88,90,89
female,group D,masters degree,standard,completed,96,100,100
male,group A,some college,standard,completed,63,69,68
female,group D,high school,standard,none,65,62,68
female,group A,associates degree,free reduced,none,55,70,68
female,group C,high school,standard,none,72,82,74
female,group D,some high school,standard,none,53,60,63
male,group B,some college,standard,none,38,31,36
female,group D,some high school,standard,none,67,77,75
male,group C,high school,free reduced,completed,59,61,61
male,group C,bachelors degree,standard,none,84,78,73
female,group D,bachelors degree,standard,completed,61,71,78
male,group A,some college,free reduced,completed,58,56,49
female,group B,associates degree,standard,none,79,80,77
female,group E,some college,standard,none,89,90,87
male,group B,some college,standard,completed,69,77,76
female,group C,some high school,standard,none,39,48,50
female,group C,high school,standard,completed,62,80,77
female,group D,some high school,free reduced,none,52,70,60
male,group D,high school,standard,none,73,66,66
female,group C,some college,standard,completed,50,63,58
female,group B,bachelors degree,free reduced,completed,31,42,46
female,group B,high school,standard,none,70,77,73
male,group D,some high school,free reduced,none,43,35,29
female,group C,some high school,standard,completed,70,70,74
male,group B,some high school,standard,completed,90,78,84
male,group D,some high school,free reduced,none,73,63,61
male,group E,associates degree,free reduced,none,80,70,64
female,group B,bachelors degree,free reduced,none,66,68,68
female,group B,masters degree,free reduced,none,58,73,73
male,group B,high school,free reduced,none,66,76,62
male,group B,high school,free reduced,none,53,58,48
female,group C,some high school,free reduced,completed,50,66,65
male,group D,high school,standard,none,60,57,53
female,group C,associates degree,standard,none,70,71,65
female,group B,high school,standard,none,61,61,62
male,group C,high school,standard,completed,67,66,66
male,group D,bachelors degree,standard,none,84,72,71
female,group B,high school,standard,none,71,84,79
male,group B,some high school,standard,none,52,45,38
male,group C,some college,free reduced,none,60,60,57
female,group A,high school,standard,none,65,72,74
male,group A,some college,free reduced,completed,65,61,58
female,group E,some high school,free reduced,none,50,61,51
female,group D,some college,standard,none,53,47,54
male,group C,some high school,standard,completed,67,65,68
male,group D,high school,standard,none,78,69,67
female,group E,associates degree,standard,none,91,90,87
male,group B,some high school,standard,none,67,60,59
male,group D,associates degree,standard,none,87,61,67
male,group B,some college,free reduced,none,52,57,44
male,group D,some high school,standard,none,89,85,85
female,group E,high school,standard,completed,66,60,68
male,group B,some college,standard,none,83,81,78
male,group C,some high school,free reduced,none,67,68,60
female,group C,some high school,standard,completed,53,67,64
female,group E,high school,free reduced,none,43,50,54
female,group C,high school,free reduced,none,51,68,59
female,group D,associates degree,standard,none,72,84,86
female,group D,bachelors degree,free reduced,none,77,79,86
female,group D,high school,free reduced,none,57,66,61
male,group D,associates degree,standard,none,92,77,80
male,group D,associates degree,free reduced,none,67,59,58
male,group B,associates degree,free reduced,completed,65,66,71
male,group C,associates degree,standard,none,53,52,51
female,group C,some high school,free reduced,none,35,48,45
male,group B,some college,free reduced,none,32,36,30
female,group D,some college,standard,none,78,89,82
male,group C,some high school,standard,completed,53,54,56
male,group B,associates degree,free reduced,none,58,54,44
female,group E,masters degree,standard,none,62,63,69
female,group D,some high school,free reduced,completed,75,85,90
male,group D,some high school,standard,none,65,74,64
male,group C,some high school,standard,none,59,56,52
female,group C,some college,standard,none,68,84,75
female,group C,masters degree,standard,none,61,70,75
male,group E,masters degree,standard,none,83,69,70
male,group A,some college,standard,none,75,80,74
female,group B,some high school,standard,completed,64,71,64
male,group E,high school,standard,completed,100,98,96
male,group D,some high school,standard,completed,85,65,74
male,group A,bachelors degree,standard,completed,100,96,95
male,group B,masters degree,standard,none,77,59,57
female,group C,some high school,standard,none,39,46,43
female,group C,some college,standard,none,76,81,72
male,group C,some college,free reduced,none,29,34,27
female,group E,high school,standard,none,84,87,85
female,group C,some high school,standard,completed,92,92,98
female,group D,high school,standard,completed,84,98,100
female,group A,high school,free reduced,completed,36,53,51
male,group C,bachelors degree,standard,none,80,80,77
female,group D,bachelors degree,standard,none,93,96,98
female,group D,high school,standard,none,41,51,55
female,group E,masters degree,free reduced,none,65,68,64
female,group E,some college,free reduced,none,49,50,54
female,group C,high school,standard,completed,70,88,92
female,group D,bachelors degree,standard,none,60,75,70
male,group B,high school,free reduced,none,44,43,37
female,group E,bachelors degree,free reduced,none,64,65,71
female,group A,some high school,standard,none,55,52,61
male,group E,some college,standard,completed,90,72,73
female,group C,associates degree,standard,none,66,68,62
female,group D,high school,standard,completed,86,81,91
female,group B,bachelors degree,standard,none,51,61,59
female,group C,high school,standard,completed,86,96,88
male,group C,associates degree,free reduced,none,47,61,52
female,group B,high school,standard,completed,88,90,95
male,group C,associates degree,free reduced,completed,60,66,59
female,group D,bachelors degree,free reduced,none,70,77,76
female,group D,high school,standard,completed,62,65,69
female,group B,bachelors degree,standard,completed,83,96,100
female,group D,associates degree,standard,completed,90,100,100
male,group D,bachelors degree,free reduced,none,86,79,83
male,group C,some college,standard,none,71,67,66
male,group C,some high school,free reduced,none,62,64,63
female,group C,high school,standard,none,63,79,67
male,group C,some high school,free reduced,none,37,38,33
female,group D,some high school,standard,none,42,52,50
male,group D,some high school,standard,none,84,70,66
male,group C,some high school,free reduced,completed,87,81,77
male,group C,some high school,free reduced,none,50,49,48
female,group B,bachelors degree,standard,none,60,68,67
female,group E,associates degree,free reduced,none,66,68,66
male,group B,some college,free reduced,none,73,75,63
female,group A,associates degree,free reduced,completed,69,76,79
male,group D,associates degree,free reduced,none,66,63,60
female,group B,some high school,standard,none,64,69,70
female,group B,associates degree,free reduced,none,57,73,68
male,group C,some high school,standard,none,68,67,55
female,group C,some college,standard,none,55,68,67
male,group E,some college,standard,completed,86,83,78
male,group C,masters degree,standard,none,89,98,91
male,group D,associates degree,standard,none,62,60,59
male,group D,some high school,free reduced,none,28,31,25
male,group C,some college,standard,none,57,57,58
female,group D,high school,standard,none,70,84,76
male,group C,some high school,standard,completed,65,72,70
male,group C,associates degree,free reduced,none,52,48,42
male,group C,associates degree,free reduced,none,37,30,31
male,group D,some college,standard,none,67,55,55
female,group B,some college,standard,none,70,74,71
male,group C,masters degree,free reduced,none,48,43,42
female,group D,high school,free reduced,none,20,37,32
female,group B,associates degree,free reduced,completed,67,86,88
female,group D,some college,free reduced,none,56,69,68
male,group B,some college,free reduced,completed,69,67,73
male,group D,masters degree,standard,none,99,92,92
male,group C,bachelors degree,standard,completed,87,80,83
male,group B,bachelors degree,standard,none,86,79,81
male,group C,high school,standard,completed,84,82,72
male,group C,some college,free reduced,completed,53,55,49
male,group C,some college,free reduced,completed,67,66,64
male,group C,some high school,standard,completed,89,77,80
male,group C,bachelors degree,standard,completed,81,84,73
female,group B,some high school,standard,none,72,78,80
female,group C,some college,free reduced,completed,83,93,96
male,group B,bachelors degree,standard,completed,54,47,52
male,group A,associates degree,free reduced,none,49,52,47
male,group E,some high school,free reduced,completed,89,84,81
female,group E,high school,standard,completed,87,91,84
male,group C,some high school,free reduced,completed,58,70,61
male,group D,some high school,free reduced,none,59,59,56
female,group B,high school,standard,none,52,65,67
female,group D,masters degree,free reduced,completed,62,70,83
female,group E,associates degree,standard,none,100,100,100
male,group C,high school,standard,completed,69,54,59
female,group C,high school,free reduced,completed,56,79,81
female,group E,associates degree,standard,none,86,89,89
female,group C,associates degree,free reduced,none,76,89,86
male,group E,high school,standard,none,90,77,73
female,group C,associates degree,free reduced,none,51,62,64
female,group E,some high school,standard,completed,80,88,95
female,group C,associates degree,standard,none,60,57,59
male,group C,associates degree,standard,none,73,74,66
female,group D,some high school,free reduced,none,26,36,37
female,group C,some high school,standard,none,68,67,71
male,group E,some college,standard,none,100,90,87
male,group C,associates degree,free reduced,none,56,63,56
female,group B,some high school,free reduced,none,43,52,53
male,group C,associates degree,standard,none,74,64,64
female,group E,some high school,free reduced,completed,67,69,64
male,group B,some high school,free reduced,none,36,44,40
female,group B,masters degree,standard,completed,87,100,100
female,group B,high school,free reduced,none,36,42,38
female,group C,associates degree,standard,none,47,48,50
female,group B,some college,free reduced,none,55,68,66
male,group C,bachelors degree,standard,completed,78,80,81
female,group D,some high school,free reduced,completed,50,64,65
female,group A,some college,free reduced,completed,60,82,77
female,group B,high school,standard,none,47,58,52
female,group B,bachelors degree,standard,none,48,50,59
female,group A,some college,standard,none,45,48,51
female,group B,some high school,standard,none,72,72,73
male,group E,bachelors degree,standard,none,80,72,73
male,group D,associates degree,standard,completed,86,80,86
female,group D,some college,standard,none,77,82,85
female,group C,high school,standard,completed,71,87,85
female,group C,some high school,free reduced,none,52,69,64
female,group C,some college,standard,none,46,57,55
male,group B,high school,standard,none,67,77,69
female,group E,some college,free reduced,none,70,79,76
female,group B,some high school,standard,none,65,67,65
male,group C,some college,free reduced,none,55,56,51
female,group C,some college,free reduced,completed,45,61,61
male,group B,bachelors degree,standard,none,82,82,78
male,group C,some college,free reduced,none,77,79,72
female,group D,high school,free reduced,completed,76,83,86
female,group A,masters degree,standard,none,66,78,71
male,group A,high school,free reduced,none,71,71,68
male,group D,associates degree,standard,none,74,58,57
female,group E,high school,standard,completed,67,76,75
female,group E,some high school,standard,none,70,70,62
female,group B,bachelors degree,standard,none,84,86,89
female,group E,some college,standard,none,96,98,100
male,group D,some high school,free reduced,completed,69,62,63
female,group E,bachelors degree,standard,completed,68,73,78
female,group E,masters degree,standard,none,80,82,75
male,group C,some high school,standard,none,80,83,78
female,group D,some college,standard,none,62,77,70
male,group A,some college,free reduced,completed,75,76,75
female,group E,some high school,free reduced,completed,78,80,80
male,group D,associates degree,standard,none,67,49,51
male,group B,associates degree,standard,none,45,33,38
female,group B,high school,standard,none,61,69,66
male,group E,masters degree,standard,completed,92,86,83
female,group D,high school,free reduced,completed,71,86,89
male,group C,bachelors degree,free reduced,none,74,70,70
female,group D,associates degree,standard,none,84,90,93
male,group B,some high school,free reduced,completed,73,69,65
female,group E,masters degree,standard,completed,71,81,80
female,group C,high school,standard,completed,76,78,79
male,group D,some college,standard,completed,86,87,87
female,group C,some college,free reduced,completed,36,43,44
female,group D,associates degree,standard,none,78,86,85
female,group C,associates degree,standard,completed,72,79,75
female,group A,some college,standard,none,89,91,90
male,group D,some high school,standard,none,83,87,76
female,group A,bachelors degree,standard,completed,76,88,89
female,group C,masters degree,standard,completed,81,92,92
male,group E,high school,standard,none,75,59,51
male,group D,some college,standard,completed,86,84,83
male,group C,high school,standard,completed,65,59,54
female,group D,some high school,free reduced,none,48,61,58
female,group C,bachelors degree,free reduced,none,46,68,58
male,group D,associates degree,standard,none,72,61,59
female,group C,some college,free reduced,none,59,71,70
female,group E,some high school,standard,none,61,64,64
male,group D,some college,standard,none,80,70,72
male,group E,some college,standard,none,43,36,32
female,group B,high school,free reduced,none,46,56,50
female,group B,bachelors degree,standard,none,81,85,84
male,group B,high school,standard,completed,83,81,74
male,group C,associates degree,standard,completed,73,64,66
male,group C,some high school,standard,none,76,79,73
male,group D,some college,free reduced,completed,68,79,78
male,group C,high school,free reduced,none,50,56,46
male,group C,some high school,standard,completed,71,68,69
male,group D,bachelors degree,standard,none,68,65,66
female,group C,masters degree,free reduced,none,53,71,66
female,group D,masters degree,free reduced,none,38,54,54
female,group D,some college,standard,none,91,86,85
male,group B,some high school,standard,none,66,63,52
male,group C,some college,standard,none,61,60,61
male,group C,high school,standard,none,72,66,63
female,group D,some high school,standard,none,66,69,74
female,group D,associates degree,standard,none,83,86,84
female,group C,some college,standard,completed,85,83,87
female,group C,some high school,standard,none,44,60,56
male,group D,some college,standard,none,65,62,63
female,group B,some college,standard,completed,69,68,78
female,group D,some college,free reduced,completed,62,70,73
female,group E,some college,free reduced,completed,61,69,68
female,group B,masters degree,standard,none,69,75,68
female,group C,high school,free reduced,none,66,85,83
male,group B,high school,free reduced,completed,78,83,78
male,group C,masters degree,free reduced,none,61,66,68
male,group B,some high school,standard,none,43,39,37
female,group D,high school,standard,completed,55,61,63
male,group C,high school,standard,completed,63,52,51
male,group D,high school,standard,completed,74,71,69
male,group E,associates degree,free reduced,none,62,55,52
male,group C,some college,standard,none,78,72,71
female,group B,bachelors degree,free reduced,none,49,66,65
female,group C,associates degree,standard,completed,82,81,87
male,group A,some college,free reduced,none,54,50,42
female,group C,some college,free reduced,none,49,63,59
male,group A,high school,standard,none,65,58,55
female,group E,high school,standard,completed,50,64,58
female,group D,high school,free reduced,completed,69,76,78
female,group D,some high school,standard,none,56,58,62
male,group D,some high school,standard,none,46,37,40
female,group B,bachelors degree,standard,none,65,72,65
female,group E,some high school,standard,completed,71,75,70
female,group D,some college,free reduced,none,55,69,67
female,group D,associates degree,standard,none,70,68,71
female,group D,masters degree,free reduced,completed,71,82,82
female,group D,high school,standard,none,65,63,67
female,group A,high school,free reduced,completed,35,45,45
female,group B,associates degree,free reduced,none,48,56,60
male,group D,some high school,standard,completed,70,66,69
female,group C,some college,standard,none,66,78,76
male,group B,masters degree,free reduced,none,41,36,34
male,group D,some high school,standard,completed,66,58,61
male,group C,some high school,standard,none,61,61,53
female,group C,masters degree,free reduced,completed,57,75,78
female,group B,associates degree,standard,none,69,72,72
female,group A,some college,standard,completed,89,95,98
male,group C,associates degree,standard,none,82,79,74
female,group C,some high school,standard,none,59,60,61
male,group B,some high school,free reduced,none,34,38,34
female,group E,some high school,free reduced,completed,83,98,95
male,group C,some college,standard,none,55,43,44
male,group D,high school,standard,completed,96,94,93
female,group D,high school,standard,none,78,83,78
female,group D,high school,standard,none,65,67,66
male,group B,high school,standard,none,62,58,59
male,group C,masters degree,standard,none,94,97,91
male,group C,associates degree,standard,completed,86,78,84
male,group E,some college,free reduced,none,48,41,45
female,group C,some high school,standard,none,48,76,63
female,group B,some college,free reduced,none,71,81,75
male,group E,some college,standard,none,67,66,63
male,group C,some college,free reduced,none,48,52,46
female,group D,high school,standard,none,78,85,88
female,group A,high school,free reduced,completed,54,63,62
male,group E,some high school,free reduced,completed,69,74,69
female,group C,some high school,standard,completed,89,86,90
male,group C,some college,standard,none,87,80,78
male,group B,high school,free reduced,none,65,56,61
male,group D,some college,standard,completed,66,65,66
female,group D,bachelors degree,standard,none,77,86,84
male,group E,high school,standard,none,57,42,44
male,group D,associates degree,free reduced,completed,85,88,88
male,group D,high school,free reduced,none,61,63,57
female,group B,high school,standard,completed,40,56,56
female,group B,associates degree,free reduced,completed,32,40,42
male,group B,some college,free reduced,none,62,56,57
male,group C,some college,free reduced,none,48,52,49
male,group D,some high school,standard,none,68,58,59
male,group E,some college,free reduced,completed,89,85,75
female,group D,some college,standard,completed,56,52,63
female,group C,some college,standard,none,64,75,69
female,group D,some high school,free reduced,completed,69,70,80
female,group D,bachelors degree,standard,completed,70,76,81
male,group C,high school,standard,none,46,42,40
female,group A,some college,standard,completed,63,74,75
male,group D,some high school,free reduced,completed,69,66,65
female,group A,high school,standard,completed,91,100,100
female,group D,high school,standard,none,71,80,79
male,group C,associates degree,standard,completed,81,75,74
male,group D,associates degree,standard,completed,67,69,70
female,group C,some college,free reduced,none,74,81,74
female,group D,some college,free reduced,none,75,84,81
male,group E,some college,standard,none,99,75,78
female,group B,high school,standard,completed,56,68,71
male,group A,some high school,free reduced,none,70,82,69
female,group C,associates degree,free reduced,none,49,54,54
female,group C,some college,free reduced,completed,51,62,62
male,group C,masters degree,free reduced,none,87,83,77
male,group A,associates degree,standard,none,69,66,63
female,group C,bachelors degree,free reduced,completed,48,61,61
female,group E,some high school,standard,none,91,99,98
female,group E,some high school,standard,none,63,63,58
female,group D,high school,standard,none,39,45,44
female,group E,some high school,standard,none,54,57,56
female,group D,high school,standard,none,67,74,77
male,group E,associates degree,standard,completed,93,84,84
male,group D,bachelors degree,free reduced,completed,54,55,60
male,group C,high school,free reduced,none,44,36,32
male,group C,some college,free reduced,completed,78,77,74
female,group C,some high school,free reduced,completed,34,26,30
female,group D,high school,free reduced,completed,53,69,74
male,group C,masters degree,free reduced,completed,50,53,58
male,group D,associates degree,standard,none,49,46,42
female,group D,high school,free reduced,none,17,37,30
female,group E,high school,free reduced,completed,55,54,61
female,group B,associates degree,free reduced,none,39,53,46
female,group C,some college,standard,none,45,56,55
male,group C,some high school,free reduced,completed,44,39,32
male,group E,some high school,free reduced,completed,93,84,82
male,group E,some high school,standard,completed,86,85,75
male,group D,associates degree,free reduced,none,54,43,43
female,group C,some college,standard,none,73,87,90
male,group A,bachelors degree,standard,none,68,65,59
male,group B,high school,standard,none,61,56,54
female,group D,some high school,free reduced,completed,52,56,58
female,group E,masters degree,standard,completed,95,100,100
male,group A,associates degree,standard,none,71,64,61
male,group C,bachelors degree,standard,completed,82,88,89
female,group E,some high school,standard,completed,50,47,51
female,group D,associates degree,free reduced,none,66,73,75
female,group D,associates degree,free reduced,none,69,82,83
male,group C,associates degree,standard,none,67,67,67
female,group D,some college,free reduced,none,44,51,50
female,group B,high school,free reduced,none,51,61,63
female,group C,associates degree,standard,completed,67,77,77
female,group C,bachelors degree,standard,completed,77,84,84
male,group E,associates degree,standard,completed,83,92,91
male,group B,some college,standard,none,52,50,43
female,group C,some high school,free reduced,none,55,68,65
male,group C,high school,free reduced,none,66,78,67
female,group D,high school,free reduced,none,72,71,69
female,group C,bachelors degree,free reduced,completed,38,57,55
male,group D,associates degree,standard,none,48,34,35
female,group D,high school,standard,completed,82,97,99
male,group B,some high school,standard,completed,62,63,59
female,group E,some high school,standard,none,69,61,64
male,group D,high school,standard,completed,83,78,73
female,group D,some high school,free reduced,none,56,68,63
male,group C,associates degree,standard,none,90,81,84
male,group D,some high school,standard,none,71,71,65
male,group C,high school,standard,none,82,74,75
male,group D,bachelors degree,free reduced,completed,57,57,67
female,group D,bachelors degree,free reduced,none,57,63,66
male,group B,bachelors degree,standard,none,63,70,63
male,group A,some high school,free reduced,completed,51,60,47
female,group E,some high school,standard,none,87,81,78
male,group E,bachelors degree,standard,none,79,78,73
male,group D,bachelors degree,free reduced,none,65,67,67
male,group D,high school,standard,completed,83,82,83
female,group E,high school,standard,none,63,71,65
female,group D,some high school,standard,none,60,65,67
female,group C,associates degree,free reduced,none,66,85,84
male,group B,associates degree,standard,none,83,75,64
female,group D,some college,standard,none,81,82,87
male,group B,associates degree,free reduced,none,51,59,51
female,group C,associates degree,free reduced,completed,32,52,50
female,group B,some high school,standard,completed,71,83,84
male,group C,bachelors degree,free reduced,completed,71,69,70
female,group C,bachelors degree,standard,completed,61,64,73
male,group D,associates degree,standard,none,83,68,64
male,group C,some high school,free reduced,none,58,62,55
female,group C,associates degree,standard,completed,76,88,91
male,group D,some college,standard,completed,76,70,82
female,group A,associates degree,standard,none,68,69,70
male,group E,high school,standard,none,77,61,61
male,group E,some college,standard,none,69,67,58
male,group B,associates degree,free reduced,none,82,78,81
female,group C,some high school,free reduced,completed,46,65,65
female,group D,some high school,free reduced,none,51,65,63
female,group D,associates degree,standard,completed,79,83,86
male,group D,masters degree,standard,none,98,90,96
female,group D,some college,free reduced,completed,71,79,91
female,group D,high school,free reduced,none,36,49,44
male,group D,bachelors degree,standard,completed,65,69,69
female,group B,high school,standard,none,77,85,83
male,group E,bachelors degree,standard,completed,91,86,87
female,group A,associates degree,free reduced,none,42,55,62
male,group D,some high school,standard,none,58,47,44
female,group D,bachelors degree,free reduced,completed,75,78,90
female,group D,high school,standard,none,66,79,75
female,group D,high school,standard,completed,76,90,92
male,group D,high school,standard,completed,72,72,80
male,group B,associates degree,standard,completed,77,69,66
male,group B,bachelors degree,standard,none,68,67,66
male,group E,high school,standard,completed,100,99,93
male,group C,some college,standard,none,58,49,45
male,group C,bachelors degree,free reduced,completed,46,49,56
female,group A,some high school,standard,none,55,56,52
male,group E,associates degree,free reduced,none,82,73,71
male,group D,some college,free reduced,completed,43,40,41
female,group D,some college,free reduced,none,42,49,48
male,group C,some high school,standard,none,81,82,77
male,group E,high school,standard,none,81,78,70
male,group E,bachelors degree,free reduced,none,100,90,88
female,group C,associates degree,free reduced,none,61,76,74
male,group E,associates degree,standard,none,67,67,59
male,group C,some college,free reduced,none,74,65,62
female,group C,some high school,free reduced,none,66,76,70
female,group B,associates degree,standard,none,72,84,86
male,group D,associates degree,free reduced,completed,58,60,59
female,group C,some college,standard,none,89,93,94
female,group D,masters degree,standard,completed,68,83,86
male,group B,bachelors degree,standard,completed,79,68,76
female,group C,associates degree,standard,completed,50,68,63
female,group D,some high school,standard,completed,97,92,94
male,group A,high school,free reduced,none,59,56,56
male,group C,some high school,standard,completed,67,67,68
female,group C,high school,standard,none,58,68,65
male,group E,some high school,standard,none,100,83,79
male,group E,some high school,free reduced,none,49,47,40
female,group A,bachelors degree,free reduced,none,79,78,74
female,group E,some high school,standard,completed,85,89,84
female,group C,high school,standard,completed,90,94,100
male,group B,high school,free reduced,none,54,44,46
female,group B,high school,standard,none,29,44,39
male,group C,associates degree,standard,none,53,54,52
female,group C,high school,free reduced,none,56,74,70
male,group C,some college,standard,completed,96,97,98
male,group D,some high school,standard,completed,76,72,76
male,group C,associates degree,free reduced,none,63,67,61
male,group C,some college,standard,completed,75,77,72
female,group B,some college,standard,completed,57,75,73
male,group C,some high school,free reduced,none,50,33,28
female,group C,some college,free reduced,completed,61,87,85
male,group D,associates degree,free reduced,completed,55,58,61
male,group D,bachelors degree,standard,none,82,77,80
female,group B,high school,free reduced,none,53,69,67
female,group D,some high school,free reduced,completed,31,54,49
female,group B,some high school,free reduced,none,51,62,55
female,group C,associates degree,free reduced,completed,49,57,55
female,group D,some high school,standard,none,70,74,74
female,group A,some high school,standard,none,54,59,57
female,group D,bachelors degree,free reduced,none,52,67,66
female,group C,some college,standard,none,78,97,90
male,group D,some high school,free reduced,none,28,34,22
male,group E,associates degree,free reduced,none,74,72,72
male,group E,associates degree,free reduced,none,71,64,55
female,group D,bachelors degree,standard,completed,81,95,93
female,group E,bachelors degree,standard,none,80,82,80
male,group C,some high school,standard,completed,69,78,71
male,group B,associates degree,standard,completed,96,87,94
male,group B,high school,standard,none,86,78,77
male,group A,associates degree,standard,completed,56,58,61
male,group E,some college,standard,completed,100,92,90
female,group C,high school,free reduced,none,59,64,58
female,group A,some college,free reduced,none,57,74,66
female,group C,some high school,standard,completed,59,78,78
male,group B,associates degree,standard,none,74,72,71
male,group C,high school,standard,none,95,83,76
female,group E,some college,standard,none,65,72,68
male,group D,associates degree,standard,none,78,68,66
female,group E,some high school,standard,none,90,92,89
male,group C,masters degree,standard,completed,78,80,77
female,group E,high school,standard,completed,93,91,95
female,group D,some college,free reduced,none,66,75,79
male,group C,bachelors degree,free reduced,none,78,79,71
female,group A,high school,free reduced,none,45,58,50
male,group C,high school,standard,none,94,83,77
male,group A,some college,standard,none,75,72,63
male,group D,associates degree,standard,none,84,81,73
female,group E,some college,standard,completed,82,82,82
male,group C,high school,free reduced,none,62,63,61
male,group C,some college,standard,none,69,55,57
male,group D,bachelors degree,free reduced,completed,83,85,87
male,group D,associates degree,standard,none,69,64,66
male,group A,some high school,free reduced,completed,65,63,57
male,group C,masters degree,standard,completed,87,92,90
male,group E,high school,free reduced,completed,71,63,55
male,group C,high school,standard,none,71,60,56
male,group B,some college,standard,completed,78,80,78
male,group D,associates degree,free reduced,none,79,72,72
female,group C,associates degree,free reduced,completed,70,79,77
female,group D,some college,standard,none,69,78,78
female,group D,high school,standard,none,54,51,51
male,group C,some college,free reduced,none,78,69,69
female,group E,bachelors degree,free reduced,none,53,48,50
male,group D,associates degree,standard,none,67,71,61
female,group C,some college,free reduced,none,36,59,57
female,group D,some high school,standard,none,59,81,75
male,group D,some high school,free reduced,completed,73,74,75
male,group B,some high school,standard,completed,81,73,71
female,group B,some high school,standard,none,81,90,87
female,group D,high school,standard,none,89,96,94
male,group A,associates degree,standard,none,53,50,45
female,group A,bachelors degree,standard,none,50,58,57
female,group D,some college,standard,none,63,74,75
female,group C,masters degree,standard,completed,59,81,82
female,group C,high school,standard,none,71,65,67
female,group D,associates degree,standard,none,82,80,84
female,group E,some high school,standard,completed,99,100,100
male,group D,associates degree,standard,completed,100,100,100
male,group C,masters degree,standard,none,73,65,63
male,group C,some high school,free reduced,completed,68,65,65
male,group C,some college,standard,none,64,58,60
male,group C,high school,standard,none,69,67,65
female,group C,some college,free reduced,completed,50,71,76
female,group A,associates degree,standard,none,81,82,82
male,group C,some high school,standard,completed,50,47,42
male,group B,associates degree,standard,none,59,51,52
female,group D,masters degree,standard,none,74,83,87
male,group C,some college,free reduced,none,69,69,72
female,group D,some college,standard,completed,68,73,72
female,group C,associates degree,free reduced,none,46,47,49
male,group C,some high school,standard,none,57,62,55
female,group A,some college,standard,none,49,63,61
male,group D,some high school,standard,none,63,58,55
female,group D,some high school,standard,none,66,73,69
male,group B,some high school,free reduced,none,68,60,53
female,group C,some high school,standard,none,52,53,58
female,group B,associates degree,standard,none,56,70,65
male,group C,associates degree,standard,completed,72,77,72
male,group E,some college,standard,completed,91,95,88
female,group C,some high school,standard,none,68,86,84
male,group C,some high school,standard,none,73,70,57
male,group B,high school,standard,completed,37,44,42
male,group C,high school,free reduced,none,68,60,59
male,group D,high school,free reduced,none,63,45,44
male,group D,some college,standard,completed,83,83,81
female,group B,associates degree,standard,completed,50,66,73
male,group D,bachelors degree,free reduced,none,58,62,60
female,group B,some college,standard,none,86,95,93
male,group B,bachelors degree,standard,completed,77,71,74
female,group D,high school,free reduced,none,27,45,48
male,group E,bachelors degree,standard,none,77,74,69
male,group E,some high school,standard,none,65,58,54
male,group B,some high school,standard,none,57,48,49
female,group C,associates degree,free reduced,none,64,67,66
male,group B,high school,standard,none,48,45,45
female,group D,bachelors degree,free reduced,none,62,80,81
female,group D,some college,standard,none,74,94,91
male,group E,associates degree,free reduced,none,83,71,63
male,group C,some high school,standard,none,60,50,52
female,group D,high school,free reduced,none,47,68,64
female,group D,some college,standard,completed,88,100,100
male,group B,some college,standard,completed,79,76,79
male,group A,high school,standard,none,78,65,68
female,group B,some college,free reduced,none,62,50,53
male,group D,masters degree,standard,none,59,67,60
male,group A,some college,free reduced,completed,75,82,79
male,group C,some college,standard,none,56,57,57
female,group B,associates degree,standard,none,67,83,80
female,group C,associates degree,standard,none,80,95,91
female,group D,associates degree,standard,none,66,76,80
male,group A,some college,standard,none,75,70,70
female,group C,associates degree,standard,none,64,69,71
male,group C,some college,standard,none,77,82,79
male,group C,bachelors degree,free reduced,completed,80,89,87
female,group D,some college,standard,completed,69,71,77
male,group C,masters degree,free reduced,completed,69,85,80
female,group B,masters degree,standard,completed,65,78,82
female,group A,high school,free reduced,completed,74,85,86
male,group C,high school,free reduced,completed,54,50,50
female,group C,some college,standard,completed,59,69,69
male,group D,bachelors degree,standard,none,86,75,77
female,group B,some high school,standard,none,53,68,64
female,group D,associates degree,standard,none,67,71,72
male,group C,high school,free reduced,none,68,63,59
male,group D,masters degree,standard,none,73,78,74
female,group D,some high school,standard,none,58,60,57
female,group B,associates degree,standard,completed,55,62,69
male,group E,high school,standard,none,66,61,55
female,group C,some college,standard,none,71,70,75
male,group B,some college,standard,none,68,68,69
male,group B,high school,standard,completed,86,85,85
female,group C,high school,standard,none,66,84,80
female,group B,some college,free reduced,completed,56,69,73
male,group C,masters degree,standard,none,72,67,64
male,group B,high school,standard,none,89,76,74
male,group D,some high school,standard,none,80,71,78
male,group C,some high school,standard,none,66,51,51
female,group E,some high school,standard,none,77,76,74
male,group C,some college,free reduced,none,60,58,54
male,group C,some high school,free reduced,none,55,52,50
male,group C,some college,standard,completed,33,44,37
female,group B,associates degree,standard,none,73,79,77
male,group A,bachelors degree,standard,completed,86,78,78
